shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled,clusters
11-28-532-04309-569125,0,0,0,Holdout,NA,23.91034974600193,0.4906998943995585,TALAMADUGU ADILABAD
11-28-532-04309-569126,1,0,1,Holdout,NA,-24.119049270706007,-0.4949829281410726,TALAMADUGU ADILABAD
11-28-532-04309-569127,0,0,0,Holdout,NA,9.581462607040148,0.1966354628607673,TALAMADUGU ADILABAD
11-28-532-04309-569128,0,0,1,Holdout,NA,43.199883631426935,0.8865691452112272,TALAMADUGU ADILABAD
11-28-532-04309-569129,0,0,0,Holdout,NA,56.37135677206314,1.156880560470953,TALAMADUGU ADILABAD
11-28-532-04309-569130,0,0,1,Holdout,NA,33.72322432369921,0.6920845069285877,TALAMADUGU ADILABAD
11-28-532-04309-569131,1,0,0,Holdout,NA,54.786462662036634,1.1243545882168444,TALAMADUGU ADILABAD
11-28-532-04309-569132,1,0,1,Holdout,NA,50.44969241980781,1.0353532677634427,TALAMADUGU ADILABAD
11-28-532-04309-569133,0,0,0,Holdout,NA,34.780140955636696,0.7137750670914552,TALAMADUGU ADILABAD
11-28-532-04309-569134,1,0,1,Holdout,NA,29.508117217517366,0.6055800168705904,TALAMADUGU ADILABAD
11-28-532-04309-569135,0,0,0,Holdout,NA,45.13408656242577,0.9262638039707524,TALAMADUGU ADILABAD
11-28-532-04309-569136,1,0,1,Holdout,NA,60.62598116936687,1.244196043709161,TALAMADUGU ADILABAD
11-28-532-04309-569137,1,0,0,Holdout,NA,25.294394227563117,0.5191039323229238,TALAMADUGU ADILABAD
11-28-532-04309-569138,1,1,1,Holdout,NA,47.996518558008376,0.9850080336821208,TALAMADUGU ADILABAD
11-28-532-04309-569139,0,0,1,Holdout,NA,24.94878016573777,0.5120110714721929,TALAMADUGU ADILABAD
11-28-532-04309-569140,1,0,0,Holdout,NA,19.72556587953958,0.40481771270117434,TALAMADUGU ADILABAD
11-28-532-04309-569142,1,0,1,Holdout,NA,10.278099690853496,0.21093218988874332,TALAMADUGU ADILABAD
11-28-532-04309-569143,0,0,0,Holdout,NA,37.847658345458704,0.7767281595909139,TALAMADUGU ADILABAD
11-28-532-04309-569145,0,0,0,Holdout,NA,50.50753629841253,1.036540368137319,TALAMADUGU ADILABAD
11-28-532-04309-569146,1,0,1,Holdout,NA,54.36198481450389,1.1156432461757646,TALAMADUGU ADILABAD
11-28-532-04309-569147,0,0,0,Holdout,NA,41.900518882503995,0.8599029461862794,TALAMADUGU ADILABAD
11-28-532-04310-569148,1,0,0,Holdout,NA,-1.0147259546625955,-0.02082470244420767,GUDIHATHNOOR ADILABAD
11-28-532-04310-569149,0,0,1,Holdout,NA,10.560276479198002,0.21672315997966848,GUDIHATHNOOR ADILABAD
11-28-532-04310-569150,1,0,1,Holdout,NA,-6.171655992315279,-0.12665774344040687,GUDIHATHNOOR ADILABAD
11-28-532-04310-569151,0,0,0,Holdout,NA,-27.190680945555123,-0.5580204560105605,GUDIHATHNOOR ADILABAD
11-28-532-04310-569152,1,0,0,Holdout,NA,35.148023116607206,0.7213249247663683,GUDIHATHNOOR ADILABAD
11-28-532-04310-569153,1,0,0,Holdout,NA,1.5113905157827412,0.03101749553517491,GUDIHATHNOOR ADILABAD
11-28-532-04310-569154,1,0,0,Holdout,NA,20.559806203625556,0.4219384007413521,GUDIHATHNOOR ADILABAD
11-28-532-04310-569155,1,0,0,Holdout,NA,-10.222873731095074,-0.20979881572611309,GUDIHATHNOOR ADILABAD
11-28-532-04310-569157,1,0,0,Holdout,NA,24.514879881831327,0.5031063575824083,GUDIHATHNOOR ADILABAD
11-28-532-04310-569158,1,0,0,Holdout,NA,-18.30268255345664,-0.3756166050106212,GUDIHATHNOOR ADILABAD
11-28-532-04310-569159,1,0,0,Holdout,NA,1.3033649583574909,0.02674829327986084,GUDIHATHNOOR ADILABAD
11-28-532-04310-569160,1,0,1,Holdout,NA,-22.712817824829656,-0.4661235584821974,GUDIHATHNOOR ADILABAD
11-28-532-04310-569161,0,0,0,Holdout,NA,-24.375770424300605,-0.5002514852427965,GUDIHATHNOOR ADILABAD
11-28-532-04310-569162,1,0,0,Holdout,NA,53.286936002903225,1.0935805685516105,GUDIHATHNOOR ADILABAD
11-28-532-04310-569163,1,0,1,Holdout,NA,35.86928241810844,0.7361269609908923,GUDIHATHNOOR ADILABAD
11-28-532-04310-569164,1,1,1,Holdout,NA,3.0655782274521672,0.06291329606066913,GUDIHATHNOOR ADILABAD
11-28-532-04310-569166,1,0,0,Holdout,NA,4.7858907733973455,0.09821839170322395,GUDIHATHNOOR ADILABAD
11-28-532-04310-569167,0,0,0,Holdout,NA,32.77636307898376,0.6726525572612434,GUDIHATHNOOR ADILABAD
11-28-532-04310-569168,0,0,0,Holdout,NA,43.750209431095286,0.897863200490689,GUDIHATHNOOR ADILABAD
11-28-532-04311-569169,0,0,0,Holdout,NA,10.390227366048276,0.213233328891804,INDERAVELLY ADILABAD
11-28-532-04311-569170,0,1,1,Holdout,NA,-3.271681213171612,-0.06714304235891706,INDERAVELLY ADILABAD
11-28-532-04311-569171,1,0,0,Holdout,NA,29.598961679595195,0.6074443713623447,INDERAVELLY ADILABAD
11-28-532-04311-569172,1,0,1,Holdout,NA,44.28836403569256,0.9089074725507692,INDERAVELLY ADILABAD
11-28-532-04311-569173,1,0,0,Holdout,NA,52.58387506360653,1.0791520080188632,INDERAVELLY ADILABAD
11-28-532-04311-569174,1,0,1,Holdout,NA,34.246625834934726,0.7028260087895037,INDERAVELLY ADILABAD
11-28-532-04311-569175,0,0,0,Holdout,NA,50.49393827499624,1.0362613028486347,INDERAVELLY ADILABAD
11-28-532-04311-569176,0,0,0,Holdout,NA,41.355899013970976,0.848725990816911,INDERAVELLY ADILABAD
11-28-532-04311-569177,0,0,0,Holdout,NA,-27.650494466451395,-0.5674569740265722,INDERAVELLY ADILABAD
11-28-532-04311-569178,1,0,1,Holdout,NA,4.391303685948912,0.0901204824631154,INDERAVELLY ADILABAD
11-28-532-04311-569179,1,0,0,Holdout,NA,-12.497154519273776,-0.2564727186363304,INDERAVELLY ADILABAD
11-28-532-04311-569180,0,0,0,Holdout,NA,20.206438065965237,0.414686406953052,INDERAVELLY ADILABAD
11-28-532-04311-569181,1,0,1,Holdout,NA,47.19186600850939,0.9684945604263184,INDERAVELLY ADILABAD
11-28-532-04311-569182,0,0,0,Holdout,NA,22.35304316071789,0.4587400868239962,INDERAVELLY ADILABAD
11-28-532-04311-569183,0,0,1,Holdout,NA,35.899656447758346,0.7367503116863036,INDERAVELLY ADILABAD
11-28-532-04311-569184,1,0,1,Holdout,NA,8.79002667200876,0.18039322743261949,INDERAVELLY ADILABAD
11-28-532-04311-569185,0,0,0,Holdout,NA,38.02286572860095,0.7803238512189838,INDERAVELLY ADILABAD
11-28-532-04311-569186,0,0,0,Holdout,NA,53.69659459142655,1.1019877825097368,INDERAVELLY ADILABAD
11-28-532-04311-569187,0,1,1,Holdout,NA,37.96071795908436,0.7790484242903561,INDERAVELLY ADILABAD
11-28-532-04311-569188,1,0,1,Holdout,NA,28.101383141812065,0.5767103319964796,INDERAVELLY ADILABAD
11-28-532-04311-569189,1,0,1,Holdout,NA,18.137815718076357,0.3722331271623049,INDERAVELLY ADILABAD
11-28-532-04311-569190,0,1,1,Holdout,NA,5.035537290914853,0.10334175966247106,INDERAVELLY ADILABAD
11-28-532-04311-569191,1,1,1,Holdout,NA,54.28726389629208,1.1141097869388454,INDERAVELLY ADILABAD
11-28-532-04311-569192,1,0,1,Holdout,NA,39.011361687461495,0.8006102488576619,INDERAVELLY ADILABAD
11-28-532-04311-569193,0,0,1,Holdout,NA,55.722795093567186,1.1435704604293264,INDERAVELLY ADILABAD
11-28-532-04311-569194,0,0,0,Holdout,NA,61.64990777423658,1.2652095663978653,INDERAVELLY ADILABAD
11-28-532-04311-569195,1,0,0,Holdout,NA,-15.939791276704828,-0.3271241943057704,INDERAVELLY ADILABAD
11-28-532-04311-569196,1,0,0,Holdout,NA,13.338054351135112,0.27373007635289665,INDERAVELLY ADILABAD
11-28-532-04311-569197,1,0,0,Holdout,NA,0.6194372265185669,0.01271239379050243,INDERAVELLY ADILABAD
11-28-532-04311-569198,1,0,1,Holdout,NA,37.30685816698928,0.765629593769618,INDERAVELLY ADILABAD
11-28-532-04311-569199,1,1,1,Holdout,NA,29.776974082807072,0.6110976289844958,INDERAVELLY ADILABAD
11-28-532-04311-569200,0,0,0,Holdout,NA,35.86947825862785,0.7361309801258364,INDERAVELLY ADILABAD
11-28-532-04311-569201,0,0,0,Holdout,NA,39.4663063997966,0.8099468468025666,INDERAVELLY ADILABAD
11-28-532-04311-569202,0,0,0,Holdout,NA,18.40976551948485,0.3778142140243004,INDERAVELLY ADILABAD
11-28-532-04312-569203,1,1,1,Holdout,NA,39.46002167527889,0.809817868611535,NARNOOR ADILABAD
11-28-532-04312-569204,1,0,0,Holdout,NA,32.45123396895456,0.665980098612485,NARNOOR ADILABAD
11-28-532-04312-569205,1,0,1,Holdout,NA,20.8825781851626,0.4285624852460904,NARNOOR ADILABAD
11-28-532-04312-569206,1,0,0,Holdout,NA,28.544818025251583,0.5858107196021957,NARNOOR ADILABAD
